scenario_id,seed,source_frame_number,time_seconds,uav_xyz,image_path,label_path,image_sha256,label_sha256,frame_pair_sha256,perceptual_dhash64,person_gt,vehicle_gt,label_empty,split
T01_east_level_low,4101,96,9.5,"[-5.611111111111111, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T01_east_level_low__frame_0096.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T01_east_level_low__frame_0096.txt,16BED8AB12775AB8C7A9F07773B6EFD55C10227904EB7131C632E12B9C1F1537,928175946F77D063FAD0B19AF4C61071D58953A7DF1B61DB7A4C17AF7BAE1D40,4804A56E02CA2FCC9DE2C7024B93B2F74A6164631764B1D63CDC065F8DA12958,CAC61E4733373653,1,0,False,train
T01_east_level_low,4101,105,10.4,"[-3.1111111111111143, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T01_east_level_low__frame_0105.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T01_east_level_low__frame_0105.txt,952E37C1C703988022DD3A8A3714FBEF58CA4D8692A8E34AE596CF7590CB7801,74C557BF49A600C613DF40FA024907B6AB9B6FC151741D777B80EB5332E7F6D7,EF27F415A72208A65395641AF82155A6BC98FC4D6E9D45B5A491CB4104313C34,DADAC28E668713B7,1,1,False,train
T01_east_level_low,4101,115,11.4,"[-0.3333333333333357, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T01_east_level_low__frame_0115.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T01_east_level_low__frame_0115.txt,A69F04ADC27BE8600CA0EA50225C5E83EEC636A7471911B4A9E0D58D72BB1B77,4CE53A886046FF3254D4ED23D1EBCD4C75FF2F3A4166208FA5ACFD191B14D17D,A6658B90E2BD4C44B4C4931FC8EE2CEBF947193F1A9736308DA02AC05C52EC33,B2989ACA869B6787,1,1,False,train
T01_east_level_low,4101,124,12.3,"[2.1666666666666643, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T01_east_level_low__frame_0124.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T01_east_level_low__frame_0124.txt,C506FFFE58E5BDA5E064F27F7242DA32BF5AEA88ACB60F86048CB07BEF587418,5A3000676AEA4D6FA1E25CB7F45068466C744D7A2EBAEBF1E5AEB8C04650F573,7A4B75E4592AE787D186EAC8012D7F4A85DD76753F4792865C5E0CB2645FDC5B,26B298899BCB8F93,1,1,False,train
T01_east_level_low,4101,134,13.3,"[4.944444444444443, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T01_east_level_low__frame_0134.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T01_east_level_low__frame_0134.txt,A38A904374A46CA49D1EC74AC567B071B0E602936735BF5C898B9F795965F7BD,B863080DD8CE517C091097BB313DB809D044C5418D7AE14AEC580B77A3281994,A1275EA2645B227E6CFBAA97ED3928A71D4E02C9B1A9A9211DCCF10AA6AF4171,6EA6363239A9998B,1,1,False,train
T01_east_level_low,4101,143,14.2,"[7.444444444444443, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T01_east_level_low__frame_0143.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T01_east_level_low__frame_0143.txt,E315EB40ED971330B67D225FD5AB18072D82CEFC9E69DF8A0FE1ED3E497EBC34,C2DE55A23D09AEE193C14BB82746A32D4D12DC4754D0535290A8131494BD81FB,E43919250CE9394A8311268BE6DC6EA995968D061EA9C1BE7856326B56CAEA23,66662AA633333DA9,0,1,False,train
T01_east_level_low,4101,153,15.2,"[10.222222222222221, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T01_east_level_low__frame_0153.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T01_east_level_low__frame_0153.txt,EF8C66FEA2DD1D23DD70DED661BA86A8E8C88EE658D2EA18B49BD82711003A30,010F03D460B4ECC43142CF3EBD0947C812DC5F281F633B20D5FFBEFBF222F2C9,D2F89B21E9418CD00DDDE23138257D6876D5E18C3C686843BB0A0711A0AD7019,4E66E6EF5BA73313,0,1,False,train
T01_east_level_low,4101,162,16.1,"[12.722222222222221, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T01_east_level_low__frame_0162.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T01_east_level_low__frame_0162.txt,8DD9DA7A5498BA672FBCB29627C463C9A5F8B11DBD8213CAA59345923CACFA35,0825269BC335CE2163D1D57077306811F9098AF9A2A3B9D0B06C06BEB364DA24,50A5BB288C9F9C9FC5FB1ACCD7C86EA4CC4ABA6BF4769110D6E3184960CF3531,B74F46E6C72B5B27,1,0,False,train
T01_east_level_low,4101,172,17.1,"[15.5, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T01_east_level_low__frame_0172.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T01_east_level_low__frame_0172.txt,ED64F473D38970695E6EBA3244E8437160CA1FF799072D6FAC2BFED57027DF01,A5C3704BCFEE7E2CDC0A1711C6A422926AC2D66F71FB0F787E6EC325B4BD9B89,99C5DB15E6584D2839FF5C2F1169F0E35593CEF95C18CCC5A3ACFA532BE63D9B,8CB677CE47E7CB6B,1,1,False,train
T01_east_level_low,4101,181,18.0,"[18, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T01_east_level_low__frame_0181.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T01_east_level_low__frame_0181.txt,93B9FF6060332CB3767E631FBAE5302D6FEE50DEDBB5D4159690B5EA2888CA7E,A51A422F9B2960995BD12C610D789537E6ADF88CA04081FC620A5460225940FF,A91A63B2D6A844257C78B07D7F13E5B0B744076127E2C3457C650FDAB3AE746A,A6AC9676C7DFC7E7,1,1,False,train
T02_east_level_high,4102,1,0.0,"[-28, 6, 60]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T02_east_level_high__frame_0001.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T02_east_level_high__frame_0001.txt,BB8A998006A365A6BD8374EF412F33869917E8E0DFC63C419156A34442088D96,1CD4DBF810F575CBA2C6E101D78BD09A7AF8A731C6177372B51DF8DEC6E8FF73,0C277F74C7B8C0979C55D870B5E446347320314E9CCC1739BFE28FFEEABB026C,297D2DA3B1906060,1,0,False,train
T02_east_level_high,4102,10,0.9,"[-25.6, 6, 60]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T02_east_level_high__frame_0010.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T02_east_level_high__frame_0010.txt,9689CAD5094C59886CB8C5A8A8D6A5D29D1ECB913F3E459C2FB4CDC33A27479E,D330F5FF39EDD3DE151A63ECE7C4AE8103EDD223130D42A2C5F1D93D7A2DF798,959931FCDB005C7AC9743BF514CB37F2C7D7578476DE7A0AFE364A163D93A3F2,52297C24A1B1B070,1,1,False,train
T02_east_level_high,4102,20,1.9,"[-22.933333333333334, 6, 60]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T02_east_level_high__frame_0020.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T02_east_level_high__frame_0020.txt,D29D4F37C2C9FD98EF080762C3A9231CCCA2C39ADF135EC65B420B2828A1A63F,4541F7FD860AF7FF880B724253C70EC072E8276EAA224855D470F08800D7A4BD,8EF031D6C10FF2DF9E49629C1471CDBC457CE8A4D92572B0B4FF30890A95D4E6,B272695C2C24A1B0,1,1,False,train
T02_east_level_high,4102,29,2.8,"[-20.53333333333333, 6, 60]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T02_east_level_high__frame_0029.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T02_east_level_high__frame_0029.txt,8714FC2025DF37DD63E068AFC556786DEB584EE249291E426AF5EC1106F72C80,87F254C03974DAC92A88753A312A509E1F92FD398975C39DFBC3A26CD5ECB2E1,CD35BE704523D8BC58F4A07DAB9E46E12E77FCC8EB2891D05E6E9FE0270F46BF,A9B27A6A4D2C24A1,1,1,False,train
T02_east_level_high,4102,39,3.8,"[-17.866666666666667, 6, 60]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T02_east_level_high__frame_0039.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T02_east_level_high__frame_0039.txt,37B307F11DA32283D76E082685719BFE3A8BF203482A009936ABC4ECF479B6A2,F3D1C859252EE49AAEB328DF25F48AC792C2F4AD8BF5A2CC753114C9EAEADFE0,C901A2809F5F0791C76B6A2D25C865862ACF429E5BC1B7C5638A233326FF0F23,69A9B2FA686DEC24,1,1,False,train
T02_east_level_high,4102,48,4.7,"[-15.466666666666665, 6, 60]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T02_east_level_high__frame_0048.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T02_east_level_high__frame_0048.txt,44453AF40D7EE3E2BAC3B3A1906F0D01B68726E784B5F8F7BF65D0B5D12B6611,23E43F429548978F949DBBBE8BE6287B86302BC1435ACF7248F4B24142A7B66B,16C528587B42011BEF1FE1452AC594A59D5F5AA14302C82D68197A89FE3673E5,2969A9B0F26969CD,1,1,False,train
T02_east_level_high,4102,58,5.7,"[-12.8, 6, 60]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T02_east_level_high__frame_0058.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T02_east_level_high__frame_0058.txt,89D5D75F18017F710CC5C952EEE7AA9FB4E0F8E14737ECC0BAB3CCFB08CBC134,F44EC45B644E3A337A9C61F687171A9C91EE736B5F58F643980CE00FE190A669,0549D8315B094B466C6E5EDBEB9A661A863DD56A05C27F019021E2D7EAEC87C4,5A29E92D31B26AE9,1,1,False,train
T02_east_level_high,4102,67,6.6,"[-10.400000000000002, 6, 60]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T02_east_level_high__frame_0067.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T02_east_level_high__frame_0067.txt,FA7FD41166F93A0FE4D38F7C0B9E81386FCBA9EFFF2AD4C7AB699EF97F4AD5A4,46F574097CAA992158FFFEE7E3010B0F60DA27269DDC2876C6BA4EF7B8120412,BB1DF8DE16E35FA74AFE9A9850F8654A88A6F56C78928205EEF6885E1FE6DEBB,DA5829ED2D29B16A,1,1,False,train
T02_east_level_high,4102,77,7.6,"[-7.733333333333334, 6, 60]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T02_east_level_high__frame_0077.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T02_east_level_high__frame_0077.txt,43524AEBC2046D855FE369B480AD2BEF194C0A220FC7DD476B0E36B291041A94,14F777449A96374543D6D473C70878663D111EE9A17770040F103920A2027922,434B34ABAE8D8C92D68EE0BC5EDD3A81F2214E513F8B91556A1AF31172CB988B,84DA5929E86C6911,1,1,False,train
T02_east_level_high,4102,86,8.5,"[-5.333333333333336, 6, 60]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T02_east_level_high__frame_0086.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T02_east_level_high__frame_0086.txt,1083D1C8DE7DA134DF0775BCB58F6FD2F0B2E7BA700701E1C117600A24ABEA0D,0B901A95CDA585DD15DE6C54FF2F2B202630C12AC3D79A870E805282F1D59016,A6F5A7F6972163CEA52D2BA480D0A26D8A25247428F2E1D96F0BABE29F6ABBFF,A986DA5929E96C6C,1,1,False,train
T02_east_level_high,4102,96,9.5,"[-2.6666666666666643, 6, 60]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T02_east_level_high__frame_0096.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T02_east_level_high__frame_0096.txt,5C9CC9FF5A55BF24B48DEFDFC60009175D2AEF0210041B93BAC5DAE667F46824,10DB5C32BA56A9EFCF18A0F4DE4A69F6A8DF847D1F5AB0FF5AD40CE6ABF3C259,9A6BD1A4A4D65FA73AFEF68D4C7971F8657EEC7A60CDCD83502B1E47918FA599,A9A9A6D25969E968,1,1,False,train
T02_east_level_high,4102,105,10.4,"[-0.26666666666666927, 6, 60]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T02_east_level_high__frame_0105.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T02_east_level_high__frame_0105.txt,3FF1DDC2F335E3DC7601B5A481849A8E7381FF894059840EF16155A17F6821D8,6D3AC38C257166CB50F41A425F02C3C2B742CC288FA852EDD019F60225F48F26,230C4CB0DDF7A2A6B294CFA20C143D6491219AC47A169FF86F32EC3E3E9DC1F2,A929A5A2D2DA79E9,1,1,False,train
T02_east_level_high,4102,115,11.4,"[2.3999999999999986, 6, 60]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T02_east_level_high__frame_0115.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T02_east_level_high__frame_0115.txt,9A01B331909FB418909EF78B8CA9DF2FB038BDD7C692BC9A000CAEEB265B8731,206D059A14C8E123F04A332124E61F6C8A4EACC667BC8ECF6AB9262305CF944E,0D07C7572D4E9B4BC37330E56093A3F1AD09C101D2501CE067B6505B127AF82B,182929ADA2A09258,1,1,False,train
T02_east_level_high,4102,124,12.3,"[4.799999999999997, 6, 60]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T02_east_level_high__frame_0124.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T02_east_level_high__frame_0124.txt,42FB5FB5A48AE1174607C7CB5997B8A6C6F0820E0B8E7900EFEE7113CB4575F6,60939038A3EC1346E6BDCAD1F25975F5F7D53820C5E42CE7B0FE442688C53AAD,2F5CA6AACB76E7629720F2A76C078F91778AF48F7FFE54C78C8FA77B2F0AF51C,52382929ADA2AC92,1,1,False,train
T02_east_level_high,4102,134,13.3,"[7.466666666666669, 6, 60]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T02_east_level_high__frame_0134.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T02_east_level_high__frame_0134.txt,E4D82A58689CF24F5E9D6C4A0279C6D2C4698A648FD14440909305CBF6B030EA,3C827E68D6A2BACBC45461CEAE9F67A74AFCAF209247C05492D795A4AB9DB4A3,D45CD5A0230F6D55BE6240E482AB68A1C2CECEF4276CF4F365AC76083DA9D303,52523A2929A9A0AA,1,1,False,train
T02_east_level_high,4102,143,14.2,"[9.866666666666667, 6, 60]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\images\train\T02_east_level_high__frame_0143.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v1\dataset\labels\train\T02_east_level_high__frame_0143.txt,969AAC350DDEB142D5933BF92942F35B53D8C2F1838468EC3CFEA80C8544E41F,4E39217EE03CF73B792660E316822CDAA670CE5438D1878E886AA36E699B993D,1AD1F5383C34A0EB0E1722FE4F7B42E6775F7176D89CFD24DF6DA1013BB912BD,B052D23A292DA92C,2,1,False,train
